time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.435011,-0.054579,0.012404,-0.204581,-0.198130
1.440011,-0.055601,0.011604,-0.204133,-0.195893
1.445011,-0.056618,0.010432,-0.202907,-0.196173
1.450012,-0.057627,0.009640,-0.200958,-0.196454
1.455012,-0.058624,0.008455,-0.198347,-0.196514
1.460012,-0.059607,0.007653,-0.195100,-0.196473
1.465012,-0.060571,0.006484,-0.191268,-0.192300
1.470013,-0.061514,0.005528,-0.186901,-0.199111
1.475013,-0.062434,0.004340,-0.182032,-0.197708
1.480013,-0.063329,0.003441,-0.176642,-0.198626
1.485013,-0.064195,0.002262,-0.170777,-0.192723
1.490014,-0.065030,0.001579,-0.164455,-0.186465
1.495014,-0.065832,0.000464,-0.157749,-0.181837
1.500014,-0.066599,-0.000187,-0.150632,-0.176310
1.505014,-0.067331,0.001834,-0.143225,-0.140457
1.510015,-0.068024,0.001276,-0.135531,-0.136222
1.515015,-0.068678,0.000470,-0.127653,-0.131439
1.520015,-0.069292,0.000166,-0.119674,-0.132927
1.525015,-0.069866,-0.000612,-0.111549,-0.124509
1.530015,-0.070399,-0.001187,-0.103277,-0.116376
1.535016,-0.070890,-0.001861,-0.094848,-0.103217
1.540016,-0.071339,-0.002287,-0.086232,-0.093942
1.545016,-0.071744,-0.002833,-0.077491,-0.084771
1.550016,-0.072105,-0.003167,-0.068762,-0.079353
1.555017,-0.072422,-0.003628,-0.059993,-0.071458
1.560017,-0.072696,-0.004134,-0.051331,-0.083425
1.565017,-0.072928,-0.004618,-0.042870,-0.075694
1.570017,-0.073117,-0.004736,-0.034519,-0.061182
1.575018,-0.073265,-0.005089,-0.026303,-0.053441
1.580018,-0.073372,-0.005512,-0.018265,-0.058293
1.585018,-0.073440,-0.005843,-0.010544,-0.048778
1.590018,-0.073470,-0.006162,-0.003147,-0.049732
1.595019,-0.073465,-0.006446,0.003969,-0.042861
1.600019,-0.073424,-0.006318,0.010800,-0.031417
1.605019,-0.073351,0.011660,0.017193,0.048015
1.610019,-0.073247,0.011795,0.023017,0.049571
1.615019,-0.073116,0.012098,0.028210,0.053168
1.620020,-0.072961,0.012338,0.032881,0.052031
1.625020,-0.072784,0.012668,0.036932,0.058040
1.630020,-0.072589,0.012914,0.040420,0.058011
1.635020,-0.072378,0.013266,0.043309,0.058550
1.640021,-0.072154,0.013507,0.045593,0.054341
1.645021,-0.071921,0.013837,0.047294,0.057183
1.650021,-0.071681,0.014018,0.048345,0.050929
1.655021,-0.071438,0.014328,0.048718,0.050824
1.660022,-0.071195,0.014370,0.048409,0.038427
1.665022,-0.070956,0.014595,0.047402,0.034433
1.670022,-0.070724,0.014725,0.045653,0.033141
1.675022,-0.070502,0.014914,0.043213,0.027324
1.680022,-0.070295,0.015225,0.040096,0.030795
1.685023,-0.070106,0.015397,0.036359,0.025687
1.690023,-0.069937,0.015352,0.032053,0.014923
1.695023,-0.069791,0.015426,0.027204,0.006858
1.700023,-0.069671,0.015464,0.021821,0.003006
1.705024,-0.069579,0.010251,0.015826,0.055313
1.710024,-0.069520,0.010454,0.009196,0.048257
1.715024,-0.069495,0.010717,0.002052,0.035809
1.720024,-0.069507,0.010895,-0.005402,0.027971
1.725025,-0.069557,0.011045,-0.013072,0.016973
1.730025,-0.069646,0.011167,-0.020783,0.006536
1.735025,-0.069773,0.011181,-0.028538,-0.004515
1.740025,-0.069938,0.011148,-0.036116,-0.011069
1.745026,-0.070141,0.011061,-0.043580,-0.022417
1.750026,-0.070381,0.010961,-0.050912,-0.032443
1.755026,-0.070657,0.010741,-0.058034,-0.044579
1.760026,-0.070968,0.010540,-0.064850,-0.053158
1.765026,-0.071312,0.010206,-0.071415,-0.059728
1.770027,-0.071688,0.009993,-0.077530,-0.062206
1.775027,-0.072093,0.009612,-0.083181,-0.070261
1.780027,-0.072524,0.009351,-0.088372,-0.073829
1.785027,-0.072981,0.008894,-0.093100,-0.081239
1.790028,-0.073459,0.008691,-0.097302,-0.081377
1.795028,-0.073957,0.008190,-0.101030,-0.088378
1.800028,-0.074472,0.007740,-0.104214,-0.095714
1.805028,-0.075001,0.015434,-0.106900,-0.081746
1.810029,-0.075542,0.014867,-0.109061,-0.080373
1.815029,-0.076093,0.014376,-0.110703,-0.085910
1.820029,-0.076650,0.013998,-0.111868,-0.088028
1.825029,-0.077211,0.013474,-0.112559,-0.086618
1.830029,-0.077775,0.013086,-0.112796,-0.085446
1.835030,-0.078339,0.012577,-0.112610,-0.085032
1.840030,-0.078900,0.012251,-0.112032,-0.087710
1.845030,-0.079458,0.011725,-0.111101,-0.088182
1.850030,-0.080010,0.011340,-0.109858,-0.090215
1.855031,-0.080554,0.010809,-0.108340,-0.085596
1.860031,-0.081091,0.010533,-0.106581,-0.080429
1.865031,-0.081618,0.010052,-0.104637,-0.079075
1.870031,-0.082135,0.009657,-0.102524,-0.081956
1.875032,-0.082641,0.009173,-0.100261,-0.078528
1.880032,-0.083135,0.008641,-0.097875,-0.086950
1.885032,-0.083617,0.008137,-0.095418,-0.080163
1.890032,-0.084087,0.007578,-0.092886,-0.085495
1.895033,-0.084543,0.007072,-0.090251,-0.082617
1.900033,-0.084986,0.006643,-0.087515,-0.082126
1.905033,-0.085415,0.003002,-0.084659,-0.104749
1.910033,-0.085830,0.002073,-0.081676,-0.089406
1.915033,-0.086229,0.001542,-0.078571,-0.086478
1.920034,-0.086612,0.001216,-0.075361,-0.082579
1.925034,-0.086979,0.000726,-0.072011,-0.078746
1.930034,-0.087329,0.000389,-0.068532,-0.075824
1.935034,-0.087661,-0.000052,-0.064957,-0.070476
1.940035,-0.087974,-0.000334,-0.061249,-0.064540
1.945035,-0.088269,-0.000720,-0.057404,-0.061012
1.950035,-0.088544,-0.000930,-0.053437,-0.056346
1.955035,-0.088799,-0.001264,-0.049329,-0.052580
1.960036,-0.089033,-0.001573,-0.045091,-0.058205
1.965036,-0.089246,-0.001916,-0.040815,-0.054338
1.970036,-0.089437,-0.002219,-0.036453,-0.055331
1.975036,-0.089606,-0.002544,-0.032094,-0.053753
1.980036,-0.089753,-0.003088,-0.027718,-0.061594
1.985037,-0.089879,-0.003445,-0.023379,-0.058021
1.990037,-0.089983,-0.003175,-0.019034,-0.039795
1.995037,-0.090065,-0.003404,-0.014750,-0.037011
2.000037,-0.090126,-0.003989,-0.010554,-0.045846
2.005037,-0.090166,-0.004490,-0.006384,-0.086722
2.010037,-0.090186,-0.004471,-0.002248,-0.090549
2.015036,-0.090185,-0.005001,0.001856,-0.085159
2.020036,-0.090163,-0.005443,0.005962,-0.081006
2.025036,-0.090121,-0.005914,0.010116,-0.073841
2.030035,-0.090058,-0.006204,0.014349,-0.073383
2.035035,-0.089973,-0.006636,0.018703,-0.069409
2.040035,-0.089866,-0.006906,0.023140,-0.070228
2.045034,-0.089737,-0.007320,0.027697,-0.065402
2.050034,-0.089584,-0.007572,0.032397,-0.060508
2.055033,-0.089408,-0.007917,0.037352,-0.053224
2.060033,-0.089206,-0.008172,0.042445,-0.053090
2.065033,-0.088978,-0.008478,0.047654,-0.046451
2.070032,-0.088724,-0.008473,0.052990,-0.035346
2.075032,-0.088442,-0.008670,0.058495,-0.027966
2.080032,-0.088133,-0.008654,0.064106,-0.018074
2.085031,-0.087795,-0.008749,0.069862,-0.009766
2.090031,-0.087428,-0.008992,0.075685,-0.011113
2.095031,-0.087032,-0.009047,0.081589,-0.006248
2.100030,-0.086607,-0.008934,0.087523,0.002713
2.105030,-0.086151,0.002632,0.093452,0.119159
2.110029,-0.085667,0.003125,0.099210,0.123159
2.115029,-0.085154,0.003879,0.104660,0.131398
2.120029,-0.084615,0.004542,0.109805,0.129947
2.125028,-0.084052,0.005335,0.114480,0.135840
2.130028,-0.083467,0.005904,0.118577,0.134841
2.135028,-0.082863,0.006720,0.122087,0.137812
2.140027,-0.082244,0.007257,0.124847,0.148207
2.145027,-0.081614,0.008161,0.126804,0.153692
2.150027,-0.080976,0.008809,0.127928,0.158347
2.155026,-0.080335,0.009757,0.128146,0.157401
2.160026,-0.079697,0.010351,0.127434,0.153996
2.165025,-0.079064,0.011274,0.125777,0.153339
2.170025,-0.078442,0.012119,0.123181,0.161067
2.175025,-0.077837,0.013082,0.119587,0.157398
2.180024,-0.077252,0.013341,0.115006,0.141791
2.185024,-0.076694,0.014171,0.109431,0.132945
2.190024,-0.076166,0.014444,0.102940,0.119059
2.195023,-0.075673,0.015137,0.095614,0.108505
2.200023,-0.075219,0.015904,0.087396,0.107131
2.205023,-0.074809,0.026620,0.078117,0.085775
2.210022,-0.074449,0.026829,0.067838,0.080219
2.215022,-0.074143,0.027290,0.056774,0.070531
2.220021,-0.073894,0.027632,0.045151,0.057998
2.225021,-0.073704,0.027959,0.033108,0.045304
2.230021,-0.073575,0.028021,0.020727,0.043772
2.235020,-0.073509,0.028258,0.008237,0.029652
2.240020,-0.073506,0.028386,-0.004313,0.015283
2.245020,-0.073565,0.028449,-0.016744,-0.000892
2.250019,-0.073685,0.028459,-0.028951,-0.005562
2.255019,-0.073866,0.028391,-0.040918,-0.024468
2.260019,-0.074105,0.028418,-0.052525,-0.024036
2.265018,-0.074402,0.028256,-0.063674,-0.033377
2.270018,-0.074752,0.028088,-0.074349,-0.042487
2.275017,-0.075155,0.027821,-0.084591,-0.049784
2.280017,-0.075607,0.027423,-0.094311,-0.062119
2.285017,-0.076107,0.027028,-0.103527,-0.073548
2.290016,-0.076650,0.026628,-0.112175,-0.082827
2.295016,-0.077236,0.026119,-0.120323,-0.090209
2.300016,-0.077861,0.025889,-0.127917,-0.090727
2.305015,-0.078522,0.027127,-0.135194,-0.106957
2.310015,-0.079219,0.027007,-0.142144,-0.118379
